Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-04-01T00:00:00,3,1.7,75,-8,0,0,-30.2,0,n,0,883,44,1013,0,0,16,Overcast clouds,804,c04n,270,4.4,1.5
2022-04-01T01:00:00,3,2.5,75,-8,0,0,-33.5,0,n,0,883,44,1013,0,0,16,Overcast clouds,804,c04n,270,4,1
2022-04-01T02:00:00,2,-0.6,75,-7.1,0,0,-34,0,n,0,883,51,1014,0,0,16,Overcast clouds,804,c04n,260,4.4,2.4
2022-04-01T03:00:00,1,-0.6,21,-7,0,0,-31.5,0,n,0,889,55,1014,0,0,16,Scattered clouds,802,c02n,250,4.4,1.5
2022-04-01T04:00:00,0,-0.8,75,-7.9,0,0,-26.6,0,n,0,883,55,1014,0,0,16,Overcast clouds,804,c04n,275,4.4,1
2022-04-01T05:00:00,0,-0.8,75,-7,0,0,-19.7,0,n,0,883,59,1014,0,0,16,Overcast clouds,804,c04n,300,3.6,1
2022-04-01T06:00:00,-1,-1.9,75,-7.1,0,0,-11.4,0,n,0,883,63,1015,0,0,16,Overcast clouds,804,c04n,325,2.8,1
2022-04-01T07:00:00,-3,-4.1,75,-8.1,0,0,-2.4,0,n,0,882,68,1016,0,0,16,Overcast clouds,804,c04n,350,2.8,1
2022-04-01T08:00:00,-2,-4,25,-7.1,42,392,6.9,81,d,0,882,68,1016,0,80,16,Scattered clouds,802,c02d,360,2.4,1.5
2022-04-01T09:00:00,1,-3.4,45,-7,68,631,16.3,238,d,0,883,55,1017,0,224,16,Broken clouds,803,c03d,10,4.6,4.6
2022-04-01T10:00:00,2,-2.8,45,-7.1,85,750,25.2,398,d,0,885,51,1017,0,374,16,Broken clouds,803,c03d,20,5.7,5.7
2022-04-01T11:00:00,3,0.4,75,-7.2,96,820,33.1,537,d,0,886,47,1017,0,355,16,Overcast clouds,804,c04d,30,4.8,2.6
2022-04-01T12:00:00,4,1.2,45,-8,103,860,39.3,642,d,0,886,41,1016,0,604,16,Broken clouds,803,c03d,30,6,3.1
