Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-08-01T00:00:00,18,18,1,16.9,0,0,-17.4,0,n,0,897,93,1015,0,0,6,Clear Sky,800,c01n,20,4.6,4.6
2022-08-01T01:00:00,17,17,100,15.9,0,0,-20.4,0,n,0,895,93,1015,0,0,8,Overcast clouds,804,c04n,60,5.2,3.6
2022-08-01T02:00:00,16,16,99,14.9,0,0,-20.9,0,n,0,894,93,1014,0,0,8,Overcast clouds,804,c04n,60,4.4,2.1
2022-08-01T03:00:00,16,16,91,14.9,0,0,-19,0,n,0,894,93,1014,0,0,8,Overcast clouds,804,c04n,55,3.2,2
2022-08-01T04:00:00,16,16,82,14.9,0,0,-14.7,0,n,0,894,93,1014,0,0,11,Overcast clouds,804,c04n,50,4.6,4.6
2022-08-01T05:00:00,16,16,80,14.9,0,0,-8.6,0,n,0,893,93,1015,0,0,11,Overcast clouds,804,c04n,20,2.6,2.6
2022-08-01T06:00:00,16,16,35,13.8,0,0,-1.1,0,n,0,894,87,1015,0,0,6,Scattered clouds,802,c02n,20,5.7,5.7
2022-08-01T07:00:00,15,15,35,13.9,42,395,7.4,85,d,0,894,93,1014,0,80,8,Scattered clouds,802,c02d,180,4.8,3.1
2022-08-01T08:00:00,17,17,12,13.9,67,615,16.5,235,d,0,893,82,1013,0,226,8,Few clouds,801,c02d,200,6.2,6.2
2022-08-01T09:00:00,19,18.8,28,13.8,83,734,25.9,398,d,0,893,72,1012,0,378,10,Scattered clouds,802,c02d,210,7.2,4.6
2022-08-01T10:00:00,21.5,21.4,89,14.4,95,808,35.1,555,d,0,893,64,1011,0,197,10,Overcast clouds,804,c04d,190,8,5.9
2022-08-01T11:00:00,24,23.9,29,15,104,856,43.8,690,d,0,893,57,1011,0,653,10,Scattered clouds,802,c02d,170,11,7.2
2022-08-01T12:00:00,25,24.9,14,13.9,110,885,51,790,d,0,893,50,1010,0,759,16,Few clouds,801,c02d,180,11,7.7
2022-08-01T13:00:00,27,27.2,5,14.7,113,900,55.6,848,d,0,893,47,1009,0,814,16,Few clouds,801,c02d,170,10,7.7
2022-08-01T14:00:00,29,28.5,0,13.6,113,902,56.4,858,d,0,893,39,1007,0,826,16,Clear Sky,800,c01d,150,11,7.2
2022-08-01T15:00:00,29,28.5,1,13.6,111,892,53.2,819,d,0,893,39,1007,0,789,16,Clear Sky,800,c01d,130,10,6.7
2022-08-01T16:00:00,30,29.4,0,13.7,107,869,46.9,735,d,0,892,37,1005,0,708,16,Clear Sky,800,c01d,130,10,7.2
2022-08-01T17:00:00,30,29.4,0,13.7,99,830,38.7,613,d,0,891,37,1005,0,590,16,Clear Sky,800,c01d,120,10,7.7
2022-08-01T18:00:00,29,28.4,0,12.8,89,769,29.7,463,d,0,891,37,1004,0,447,16,Clear Sky,800,c01d,110,11,8.2
2022-08-01T19:00:00,28,28.3,1,16,74,671,20.3,300,d,0,890,48,1003,0,287,16,Clear Sky,800,c01d,120,7.7,7.7
2022-08-01T20:00:00,27,27.2,0,14.7,53,502,11,141,d,0,889,47,1003,0,135,16,Clear Sky,800,c01d,80,6.8,4.6
2022-08-01T21:00:00,24,23.9,43,15,19,138,2.1,16,d,0,888,57,1003,0,33,16,Broken clouds,803,c03n,100,16,3.6
2022-08-01T22:00:00,17,17,100,9.9,0,0,-5.9,0,n,0,887,63,1007,0,0,16,Overcast clouds,804,c04n,360,18,9.8
2022-08-01T23:00:00,14,14,100,11,0,0,-12.6,0,n,0,887,82,1007,0,0,16,Overcast clouds,804,c04n,360,9,6.2
2022-08-02T00:00:00,14,14,5,9.8,0,0,-17.7,0,n,0,886,76,1007,0,0,16,Few clouds,801,c02n,340,10,6.7
2022-08-02T01:00:00,15,15,25,10.8,0,0,-20.6,0,n,0.25,886,76,1007,0,0,16,Scattered clouds,802,c02n,350,10,7.2
2022-08-02T02:00:00,15,15,77,10,0,0,-21.2,0,n,0,887,72,1007,0,0,16,Overcast clouds,804,c04n,330,4.8,4.6
2022-08-02T03:00:00,16,16,39,9.9,0,0,-19.2,0,n,0,887,67,1007,0,0,16,Scattered clouds,802,c02n,250,4.4,2.1
2022-08-02T04:00:00,15,15,5,8.9,0,0,-15,0,n,0,888,67,1008,0,0,16,Few clouds,801,c02n,310,4,2.1
2022-08-02T05:00:00,15,15,6,10,0,0,-8.9,0,n,0,888,72,1008,0,0,16,Few clouds,801,c02n,300,3.6,1.5
2022-08-02T06:00:00,15,15,86,10.8,0,0,-1.3,0,n,0.25,887,76,1008,0,0,16,Overcast clouds,804,c04n,60,3.2,2.1
2022-08-02T07:00:00,15,15,43,10,42,389,7.2,82,d,0,888,72,1009,0,78,16,Broken clouds,803,c03d,320,10,2.6
2022-08-02T08:00:00,16,16,2,8,66,612,16.3,231,d,0,887,59,1010,0,231,16,Few clouds,801,c02d,340,10,7.2
2022-08-02T09:00:00,16,16,0,8,83,733,25.7,395,d,0,890,59,1012,0,395,16,Clear Sky,800,c01d,340,13,9.8
2022-08-02T10:00:00,18,18,1,8,95,807,35,552,d,0,890,52,1011,0,552,16,Clear Sky,800,c01d,340,8.4,4.6
2022-08-02T11:00:00,19.5,18.7,5,7.3,104,855,43.5,687,d,0,891,45,1011,0,687,16,Few clouds,801,c02d,340,10.4,3.6
2022-08-02T12:00:00,21,20.2,39,6.9,109,884,50.7,787,d,0,891,40,1011,0,758,16,Scattered clouds,802,c02d,340,10.4,2.6
2022-08-02T13:00:00,23,22.2,5,5.9,113,899,55.3,845,d,0,892,33,1011,0,845,16,Few clouds,801,c02d,40,7.6,2.6
