Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-12-01T00:00:00,-21,-32.3,90,-24.1,0,0,-60.3,0,n,0,868,76,1015,0,0,16,Overcast clouds,804,c04n,340,9,6.2
2022-12-01T01:00:00,-21,-32.3,93,-24.1,0,0,-60,0,n,0,868,76,1015,0,0,16,Overcast clouds,804,c04n,330,8,6.2
2022-12-01T02:00:00,-21,-31.8,93,-24.1,0,0,-55.5,0,n,0,868,76,1015,0,0,16,Overcast clouds,804,c04n,340,7.2,5.7
2022-12-01T03:00:00,-21,-30.2,95,-24.1,0,0,-48.2,0,n,0,868,76,1014,0,0,16,Overcast clouds,804,c04n,340,7.2,4.1
2022-12-01T04:00:00,-21,-30.2,96,-25,0,0,-39.4,0,n,0.5,867,70,1014,15,0,16,Light snow,600,s01n,350,6.4,4.1
2022-12-01T05:00:00,-21,-31.8,96,-24.1,0,0,-30.1,0,n,0,867,76,1014,0,0,2,Haze,721,a03n,340,7,5.7
2022-12-01T06:00:00,-21,-30.8,96,-24.1,0,0,-20.8,0,n,0.5,867,76,1014,15,0,2,Light snow,600,s01n,350,6,4.6
2022-12-01T07:00:00,-21,-28.1,94,-25,0,0,-11.7,0,n,0.5,867,70,1014,15,0,3,Light snow,600,s01n,350,4,2.6
2022-12-01T08:00:00,-21,-28.1,91,-24.1,0,0,-3.3,0,n,0,867,76,1014,0,0,2,Haze,721,a03n,360,3.6,2.6
2022-12-01T09:00:00,-21,-28.9,92,-25,32,275,4.2,42,d,0,867,70,1014,0,46,8,Overcast clouds,804,c04n,20,3.2,3.1
2022-12-01T10:00:00,-21,-30.2,91,-25,55,514,10.3,138,d,0,867,70,1014,0,103,14,Overcast clouds,804,c04d,10,4.1,4.1
2022-12-01T11:00:00,-21,-30.8,89,-26,66,616,14.6,214,d,0,867,64,1014,0,84,16,Overcast clouds,804,c04d,10,4.6,4.6
2022-12-01T12:00:00,-21,-27.1,88,-26,71,656,16.7,253,d,0,867,64,1014,0,106,16,Overcast clouds,804,c04d,40,2.1,2.1
2022-12-01T13:00:00,-20,-27.7,87,-25,71,653,16.5,249,d,0,867,64,1013,0,109,16,Overcast clouds,804,c04d,10,3.2,3.1
2022-12-01T14:00:00,-20,-23,88,-26.1,65,605,14,204,d,0,866,58,1013,0,85,16,Overcast clouds,804,c04d,45,2.4,1
2022-12-01T15:00:00,-20,-26,89,-26.1,52,489,9.4,123,d,0,866,58,1013,0,101,16,Overcast clouds,804,c04d,80,2.4,2.1
2022-12-01T16:00:00,-22,-30.1,89,-26.1,26,210,3.1,28,d,0,867,69,1014,0,37,16,Overcast clouds,804,c04n,20,3.1,3.1
2022-12-01T17:00:00,-23,-31.3,90,-27.1,0,0,-4.6,0,n,0,866,69,1014,0,0,16,Overcast clouds,804,c04n,10,3.1,3.1
2022-12-01T18:00:00,-24,-31.6,90,-28,0,0,-13.1,0,n,0,866,69,1015,0,0,16,Overcast clouds,804,c04n,20,2.6,2.6
2022-12-01T19:00:00,-23,-28,91,-27.1,0,0,-22.3,0,n,0,866,69,1016,0,0,16,Overcast clouds,804,c04n,30,1.5,1.5
2022-12-01T20:00:00,-23,-29.5,90,-26,0,0,-31.7,0,n,0,867,76,1016,0,0,16,Overcast clouds,804,c04n,330,2.1,2.1
2022-12-01T21:00:00,-23,-29.5,91,-25.1,0,0,-40.9,0,n,0,867,83,1016,0,0,16,Overcast clouds,804,c04n,300,2.1,2.1
2022-12-01T22:00:00,-23,-29.5,91,-25.1,0,0,-49.5,0,n,0,867,83,1018,0,0,8,Overcast clouds,804,c04n,180,2.4,2.1
2022-12-01T23:00:00,-22,-28.3,91,-25.1,0,0,-56.5,0,n,0,868,76,1018,0,0,8,Overcast clouds,804,c04n,220,2.4,2.1
2022-12-02T00:00:00,-22,-30.1,91,-25.1,0,0,-60.5,0,n,0,869,76,1018,0,0,8,Overcast clouds,804,c04n,230,3.1,3.1
2022-12-02T01:00:00,-23,-28,91,-26,0,0,-60.2,0,n,0,870,76,1019,0,0,16,Overcast clouds,804,c04n,240,3.2,1.5
2022-12-02T02:00:00,-24,-31.3,91,-27,0,0,-55.6,0,n,0,905,76,1020,0,0,16,Overcast clouds,804,c04n,285,3.6,2.4
2022-12-02T03:00:00,-23,-29.5,91,-27.1,0,0,-48.3,0,n,0,869,69,1020,0,0,16,Overcast clouds,804,c04n,330,4,2.1
2022-12-02T04:00:00,-23,-28,91,-27.1,0,0,-39.6,0,n,0,871,69,1021,0,0,16,Overcast clouds,804,c04n,320,4.4,1.5
2022-12-02T05:00:00,-23,-30.5,91,-27.1,0,0,-30.3,0,n,0,871,69,1022,0,0,16,Overcast clouds,804,c04n,340,4.4,2.6
2022-12-02T06:00:00,-23,-29.5,91,-27.1,0,0,-20.9,0,n,0,872,69,1023,0,0,16,Overcast clouds,804,c04n,320,4,2.1
2022-12-02T07:00:00,-22,-26.8,91,-26.1,0,0,-11.9,0,n,0,872,69,1024,0,0,16,Overcast clouds,804,c04n,310,4.4,1.5
2022-12-02T08:00:00,-21,-27.1,91,-26,0,0,-3.4,0,n,0,874,64,1024,0,0,16,Overcast clouds,804,c04n,300,4.4,2.1
2022-12-02T09:00:00,-21,-28.1,91,-26,31,266,4,40,d,0,875,64,1025,0,45,16,Overcast clouds,804,c04n,320,4.4,2.6
2022-12-02T10:00:00,-19,-27.1,90,-25,54,509,10.1,135,d,0,876,59,1025,0,104,16,Overcast clouds,804,c04d,320,3.6,3.6
2022-12-02T11:00:00,-17,-25.8,89,-24.1,66,613,14.4,211,d,0,877,54,1026,0,83,16,Overcast clouds,804,c04d,330,4.6,4.6
