Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-02-01T00:00:00,-17,-24.1,100,-19,0,0,-54.7,0,n,0,883,84,1028,0,0,4,Overcast clouds,804,c04n,110,4.4,3.1
2022-02-01T01:00:00,-17,-24.7,100,-20.1,0,0,-56,0,n,0,882,77,1028,0,0,2,Haze,721,a03n,120,5.2,3.6
2022-02-01T02:00:00,-17,-25.3,100,-20.1,0,0,-53.3,0,n,0,883,77,1029,0,0,6,Overcast clouds,804,c04n,70,5.6,4.1
2022-02-01T03:00:00,-18,-25.3,100,-21,0,0,-47.3,0,n,0,883,77,1030,0,0,8,Overcast clouds,804,c04n,70,5.6,3.1
2022-02-01T04:00:00,-18,-27,100,-21,0,0,-39.4,0,n,0,883,77,1030,0,0,3,Overcast clouds,804,c04n,50,5.6,4.6
2022-02-01T05:00:00,-18,-27,100,-22.1,0,0,-30.4,0,n,0,883,70,1031,0,0,4,Overcast clouds,804,c04n,30,5.2,4.6
2022-02-01T06:00:00,-19,-26.5,100,-22,0,0,-21,0,n,0,883,77,1032,0,0,8,Overcast clouds,804,c04n,20,5.6,3.1
2022-02-01T07:00:00,-19,-27.1,100,-22,0,0,-11.7,0,n,0,884,77,1033,0,0,6,Overcast clouds,804,c04n,40,6,3.6
2022-02-01T08:00:00,-19,-26.5,100,-22,0,0,-2.8,0,n,0,884,77,1033,0,0,3,Overcast clouds,804,c04n,40,6.4,3.1
2022-02-01T09:00:00,-19,-25.7,100,-22,37,336,5.4,59,d,0,885,77,1034,0,43,2,Haze,721,a03d,30,6.8,2.6
2022-02-01T10:00:00,-19,-24.8,100,-22,61,568,12.4,174,d,0,885,77,1035,0,78,5,Overcast clouds,804,c04d,10,7.6,2.1
2022-02-01T11:00:00,-18,-26.5,100,-22.1,73,673,17.7,271,d,0,886,70,1035,0,100,4,Overcast clouds,804,c04d,10,8.4,4.1
2022-02-01T12:00:00,-18,-25.9,100,-22.1,80,721,20.9,331,d,0,886,70,1035,0,113,4,Overcast clouds,804,c04d,10,7.6,3.6
2022-02-01T13:00:00,-18,-26.5,100,-22.1,81,732,21.8,346,d,0,886,70,1035,0,116,3,Overcast clouds,804,c04d,20,7.6,4.1
2022-02-01T14:00:00,-18,-25.9,100,-22.1,78,710,20.1,315,d,0,886,70,1035,0,110,3,Overcast clouds,804,c04d,20,7.2,3.6
2022-02-01T15:00:00,-18,-27,100,-23.1,70,646,16.1,242,d,0,886,64,1035,0,94,16,Overcast clouds,804,c04d,10,7.6,4.6
2022-02-01T16:00:00,-18,-26.5,75,-23.1,54,511,10.2,136,d,0,886,64,1036,0,90,16,Overcast clouds,804,c04d,20,8,4.1
2022-02-01T17:00:00,-19,-27.1,45,-24.1,24,190,2.8,24,d,0,887,64,1037,0,47,16,Broken clouds,803,c03n,10,7.6,3.6
2022-02-01T18:00:00,-21,-29.6,25,-25,0,0,-5.7,0,n,0,887,70,1038,0,0,16,Scattered clouds,802,c02n,20,7.6,3.6
2022-02-01T19:00:00,-22,-29.3,75,-25.1,0,0,-14.8,0,n,0,887,76,1039,0,0,16,Overcast clouds,804,c04n,10,8,2.6
2022-02-01T20:00:00,-21,-28.1,45,-25,0,0,-24.1,0,n,0,887,70,1039,0,0,11,Broken clouds,803,c03n,350,8,2.6
2022-02-01T21:00:00,-22,-30.8,75,-25.1,0,0,-33.4,0,n,0,888,76,1041,0,0,11,Overcast clouds,804,c04n,340,7.6,3.6
2022-02-01T22:00:00,-21,-30.2,75,-25,0,0,-42.1,0,n,0,889,70,1041,0,0,11,Overcast clouds,804,c04n,340,7.2,4.1
2022-02-01T23:00:00,-22,-31.4,45,-25.1,0,0,-49.5,0,n,0,889,76,1042,0,0,16,Broken clouds,803,c03n,340,6.8,4.1
2022-02-02T00:00:00,-22,-30.8,25,-26.1,0,0,-54.4,0,n,0,889,69,1042,0,0,16,Scattered clouds,802,c02n,350,6.4,3.6
2022-02-02T01:00:00,-23,-32.7,25,-26,0,0,-55.8,0,n,0,889,76,1042,0,0,16,Scattered clouds,802,c02n,350,6,4.1
2022-02-02T02:00:00,-23,-29.5,25,-27.1,0,0,-53,0,n,0,889,69,1042,0,0,11,Scattered clouds,802,c02n,340,6,2.1
2022-02-02T03:00:00,-24,-29.1,25,-27,0,0,-47.1,0,n,0,889,76,1042,0,0,11,Scattered clouds,802,c02n,320,4.8,1.5
2022-02-02T04:00:00,-23,-28.3,45,-27.1,0,0,-39.2,0,n,0,888,69,1041,0,0,16,Broken clouds,803,c03n,260,2.8,1.6
2022-02-02T05:00:00,-24,-26.5,75,-28,0,0,-30.2,0,n,0,888,69,1040,0,0,16,Overcast clouds,804,c04n,200,1.2,0.8
2022-02-02T06:00:00,-24,-31.6,25,-27,0,0,-20.8,0,n,0,902,76,1040,0,0,16,Scattered clouds,802,c02n,140,2.8,2.6
2022-02-02T07:00:00,-24,-33.9,45,-28,0,0,-11.5,0,n,0,887,69,1039,0,0,16,Broken clouds,803,c03n,160,5.2,4.1
2022-02-02T08:00:00,-25,-35.7,25,-28,0,0,-2.5,0,n,0,885,76,1038,0,0,16,Scattered clouds,802,c02n,180,6.8,4.6
2022-02-02T09:00:00,-24,-35.6,100,-27,38,347,5.6,63,d,0,884,76,1037,0,44,6,Overcast clouds,804,c04d,180,8,5.7
2022-02-02T10:00:00,-23,-33.8,92,-26,61,574,12.6,179,d,0,900,76,1036,0,119,2,Haze,721,a03d,200,8,5.1
