Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-03-01T00:00:00,-5,-7.6,100,-6.1,0,0,-45.2,0,n,0,880,92,1016,0,0,8,Overcast clouds,804,c04n,115,3.2,1.6
2022-03-01T01:00:00,-4,-7.1,100,-6.1,0,0,-46.2,0,n,0.5,881,85,1015,12.5,0,6,Light snow,600,s01n,155,4,2
2022-03-01T02:00:00,-5,-7.5,100,-7.1,0,0,-43.8,0,n,0,881,85,1015,0,0,11,Overcast clouds,804,c04n,190,4.4,1.5
2022-03-01T03:00:00,-6,-9.6,75,-7.1,0,0,-38.5,0,n,0,880,92,1016,0,0,4,Overcast clouds,804,c04n,170,4.4,2.1
2022-03-01T04:00:00,-6,-11.7,75,-7.1,0,0,-31.1,0,n,0,880,92,1015,0,0,4,Overcast clouds,804,c04n,190,4.4,4.1
2022-03-01T05:00:00,-6,-9.6,75,-7.1,0,0,-22.5,0,n,0.5,879,92,1015,12.5,0,6,Light snow,600,s01n,190,4.4,2.1
2022-03-01T06:00:00,-6,-10.8,75,-7.1,0,0,-13.3,0,n,0,879,92,1015,0,0,4,Overcast clouds,804,c04n,180,4.4,3.1
2022-03-01T07:00:00,-6,-11.3,75,-7.1,0,0,-3.8,0,n,0,878,92,1015,0,0,2,Haze,721,a03n,120,3.6,3.6
2022-03-01T08:00:00,-6,-11.3,100,-7.1,37,331,5.3,58,d,0,878,92,1015,0,43,1,Haze,721,a03d,190,3.6,3.6
2022-03-01T09:00:00,-5,-10.5,100,-6.1,64,596,13.9,200,d,0,879,92,1015,0,84,0,Haze,721,a03d,210,4.1,4.1
2022-03-01T10:00:00,-3,-7.2,100,-4.1,80,719,21.4,335,d,0,879,92,1014,0,114,4,Overcast clouds,804,c04d,180,4,3.1
2022-03-01T11:00:00,-1,-4.8,45,-4,89,784,27.2,441,d,0,879,80,1014,0,415,4,Broken clouds,803,c03d,180,4,3.1
2022-03-01T12:00:00,1,-2.8,45,-3.1,94,816,30.8,506,d,0,880,74,1014,0,476,6,Broken clouds,803,c03d,180,5.6,3.6
2022-03-01T13:00:00,5,1.5,45,-2.1,96,823,31.6,521,d,0,881,60,1013,0,490,16,Broken clouds,803,c03d,190,7.6,4.6
2022-03-01T14:00:00,8,8,25,0.7,93,807,29.7,487,d,0,883,60,1013,0,483,11,Scattered clouds,802,c02d,210,10,3.6
2022-03-01T15:00:00,10,10,25,-6.3,86,764,25.2,405,d,0,884,31,1012,0,402,16,Scattered clouds,802,c02d,290,10,8.2
2022-03-01T16:00:00,12,12,45,-6.4,75,681,18.7,286,d,0,886,27,1013,0,269,13,Broken clouds,803,c03d,300,8.2,8.2
2022-03-01T17:00:00,-1,-4.8,45,-3,55,522,10.8,145,d,0,887,86,1016,0,136,1,Haze,721,a03d,50,4,3.1
2022-03-01T18:00:00,-1.5,-4.9,100,-3.1,19,131,1.9,15,d,0,883,89,1017,0,21,1,Haze,721,a03n,110,3.2,2.6
2022-03-01T19:00:00,-2,-4.9,94,-3.1,0,0,-7.4,0,n,0,890,92,1018,0,0,1,Haze,721,a03n,170,3.2,2.1
2022-03-01T20:00:00,-3,-8.4,75,-3,0,0,-16.7,0,n,0,883,100,1019,0,0,0,Fog,741,a05n,90,4.6,4.6
2022-03-01T21:00:00,-4,-10.4,100,-4,0,0,-25.8,0,n,0,883,100,1020,0,0,0,Fog,741,a05n,60,5.7,5.7
2022-03-01T22:00:00,-5,-11.2,100,-6.1,0,0,-33.9,0,n,0,883,92,1021,0,0,0,Haze,721,a03n,50,5.1,5.1
2022-03-01T23:00:00,-5,-10.1,100,-6.1,0,0,-40.6,0,n,0,894,92,1022,0,0,0,Haze,721,a03n,60,4.4,3.6
2022-03-02T00:00:00,-5,-10.1,100,-6.1,0,0,-44.8,0,n,0,894,92,1021,0,0,0,Haze,721,a03n,50,3.6,3.6
2022-03-02T01:00:00,-6,-10.3,100,-7.1,0,0,-45.8,0,n,0,885,92,1021,0,0,1,Haze,721,a03n,90,3.6,2.6
2022-03-02T02:00:00,-7,-11.4,100,-7,0,0,-43.4,0,n,0,885,100,1021,0,0,1,Fog,741,a05n,100,3.6,2.6
2022-03-02T03:00:00,-7,-12,100,-7,0,0,-38.1,0,n,0,885,100,1021,0,0,1,Fog,741,a05n,90,3.6,3.1
2022-03-02T04:00:00,-7,-12.5,100,-8.1,0,0,-30.8,0,n,0,885,92,1022,0,0,1,Haze,721,a03n,120,4.4,3.6
2022-03-02T05:00:00,-7,-12.5,100,-8.1,0,0,-22.2,0,n,0,885,92,1024,0,0,2,Haze,721,a03n,90,4.8,3.6
2022-03-02T06:00:00,-7,-12,100,-8.1,0,0,-12.9,0,n,0.25,886,92,1024,6.25,0,1,Flurries,623,s06n,110,4.8,3.1
2022-03-02T07:00:00,-7,-12,100,-8.1,0,0,-3.5,0,n,0,886,92,1025,0,0,1,Haze,721,a03n,120,4.8,3.1
2022-03-02T08:00:00,-7,-12,100,-8.1,38,346,5.7,63,d,0,886,92,1025,0,44,1,Haze,721,a03d,100,5.2,3.1
2022-03-02T09:00:00,-7,-12,100,-8.1,65,603,14.3,206,d,0,887,92,1026,0,86,1,Haze,721,a03d,120,5.6,3.1
2022-03-02T10:00:00,-6,-9.6,100,-7.1,80,723,21.7,342,d,0,885,92,1026,0,114,4,Overcast clouds,804,c04d,140,6.4,2.1
2022-03-02T11:00:00,-6,-10.3,100,-7.1,90,787,27.6,448,d,0,887,92,1026,0,135,2,Haze,721,a03d,130,6.4,2.6
2022-03-02T12:00:00,-6,-11.3,100,-7.1,95,819,31.1,512,d,0,888,92,1026,0,146,1,Haze,721,a03d,150,6,3.6
