Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-11-01T00:00:00,3,-1.5,89,-2.1,0,0,-50.1,0,n,0,873,69,1004,0,0,16,Overcast clouds,804,c04n,340,5.7,5.7
2022-11-01T01:00:00,1,-3.1,80,-2.1,0,0,-53.3,0,n,0,875,80,1005,0,0,16,Overcast clouds,804,c04n,350,4.8,4.1
2022-11-01T02:00:00,0,-4,86,-3,0,0,-52.6,0,n,0,873,80,1005,0,0,16,Overcast clouds,804,c04n,350,4,3.6
2022-11-01T03:00:00,0,-4.7,95,-2.1,0,0,-48.3,0,n,0,875,86,1006,0,0,16,Overcast clouds,804,c04n,350,4.8,4.6
2022-11-01T04:00:00,0,-6.6,93,-3,0,0,-41.4,0,n,0,875,80,1006,0,0,16,Overcast clouds,804,c04n,350,8.8,8.8
2022-11-01T05:00:00,0,-4.4,92,-2.1,0,0,-33,0,n,0,875,86,1007,0,0,16,Overcast clouds,804,c04n,350,6.4,4.1
2022-11-01T06:00:00,0,-4.7,89,-2.1,0,0,-23.8,0,n,0,876,86,1007,0,0,16,Overcast clouds,804,c04n,350,6.4,4.6
2022-11-01T07:00:00,0,-4.7,91,-3,0,0,-14.4,0,n,0,876,80,1008,0,0,16,Overcast clouds,804,c04n,340,6.4,4.6
2022-11-01T08:00:00,0,-5,91,-2.1,0,0,-5.2,0,n,0,877,86,1008,0,0,16,Overcast clouds,804,c04n,340,6.4,5.1
2022-11-01T09:00:00,0,-4.7,93,-2.1,28,229,3.4,32,d,0,877,86,1008,0,37,16,Overcast clouds,804,c04n,350,6.4,4.6
2022-11-01T10:00:00,1,-3.7,93,-2.1,56,531,11.1,151,d,0,877,80,1008,0,101,16,Overcast clouds,804,c04d,350,7.2,5.1
2022-11-01T11:00:00,1,-3.1,93,-2.1,72,660,17.5,263,d,0,877,80,1009,0,78,16,Overcast clouds,804,c04d,360,7.6,4.1
2022-11-01T12:00:00,0,-5.8,93,-3,80,724,21.9,344,d,0.5,878,80,1008,3.5,102,4,Flurries,623,s06d,360,7.2,6.7
2022-11-01T13:00:00,0,-5.3,94,-1.1,84,749,24,382,d,0.5,877,92,1008,7.5,103,2,Light snow,600,s01d,360,9,5.7
2022-11-01T14:00:00,-1,-7.1,95,-1,83,744,23.5,374,d,0.5,877,100,1008,8.5,91,2,Light snow,600,s01d,360,9,6.7
2022-11-01T15:00:00,-1,-7.3,96,-2.1,78,706,20.6,320,d,0.5,876,92,1008,8.5,147,2,Light snow,600,s01d,350,8.8,7.2
2022-11-01T16:00:00,-1,-7.3,96,-2.1,67,624,15.4,226,d,0.5,876,92,1008,8.5,116,1,Light snow,600,s01d,360,8.8,7.2
2022-11-01T17:00:00,-2,-8.6,96,-3.1,48,455,8.5,107,d,0.5,876,92,1009,10,71,1,Light snow,600,s01d,350,9,7.2
2022-11-01T18:00:00,-2,-8.1,96,-3.1,8,26,0.4,3,d,0.5,876,92,1009,10,9,2,Light snow,600,s01n,350,9,6.2
2022-11-01T19:00:00,-2,-8.1,95,-3.1,0,0,-8.5,0,n,0.5,876,92,1010,10,0,2,Light snow,600,s01n,340,7.2,6.2
2022-11-01T20:00:00,-3,-9.4,96,-4.1,0,0,-17.8,0,n,0.5,877,92,1010,10,0,2,Light snow,600,s01n,330,9,6.2
2022-11-01T21:00:00,-3,-9.9,94,-5,0,0,-27.2,0,n,0.5,877,86,1010,10,0,2,Light snow,600,s01n,330,10,7.2
2022-11-01T22:00:00,-3,-9.9,90,-5,0,0,-36.2,0,n,0.5,877,86,1011,10,0,2,Light snow,600,s01n,330,10,7.2
2022-11-01T23:00:00,-3,-9.9,88,-5,0,0,-44.2,0,n,0.5,877,86,1011,10,0,2,Light snow,600,s01n,330,9,7.2
2022-11-02T00:00:00,-3,-9.9,89,-6.1,0,0,-50.4,0,n,0.5,877,79,1011,10,0,4,Light snow,600,s01n,330,10,7.2
2022-11-02T01:00:00,-3,-10.7,89,-6.1,0,0,-53.6,0,n,0,877,79,1011,0,0,4,Overcast clouds,804,c04n,340,12,9.3
2022-11-02T02:00:00,-3,-10.1,90,-6.1,0,0,-52.9,0,n,0,877,79,1011,0,0,5,Overcast clouds,804,c04n,340,12,7.7
2022-11-02T03:00:00,-4,-12.1,88,-6.1,0,0,-48.6,0,n,0,877,85,1011,0,0,11,Overcast clouds,804,c04n,340,13,9.3
2022-11-02T04:00:00,-4,-12.3,88,-6.1,0,0,-41.7,0,n,0,877,85,1012,0,0,14,Overcast clouds,804,c04n,350,13,9.8
2022-11-02T05:00:00,-4,-12.4,94,-6.1,0,0,-33.2,0,n,0,877,85,1012,0,0,1,Haze,721,a03n,350,12,10.3
2022-11-02T06:00:00,-5,-13.4,93,-6.1,0,0,-24,0,n,0.5,877,92,1012,12.5,0,2,Light snow,600,s01n,350,13,9.3
2022-11-02T07:00:00,-5,-12.9,95,-7.1,0,0,-14.7,0,n,0.5,876,85,1013,12.5,0,2,Light snow,600,s01n,340,13,8.2
2022-11-02T08:00:00,-6,-14.5,97,-7.1,0,0,-5.5,0,n,1,877,92,1014,25,0,1,Light snow,600,s01n,340,13,8.8
2022-11-02T09:00:00,-6,-14.9,97,-7.1,26,214,3.2,29,d,1,878,92,1015,25,31,0,Light snow,600,s01n,330,13,9.8
2022-11-02T10:00:00,-6,-15.3,96,-8.1,56,524,10.9,146,d,1,879,85,1016,25,88,0,Light snow,600,s01d,330,14,10.8
2022-11-02T11:00:00,-6,-15.3,96,-8.1,71,656,17.2,258,d,1,879,85,1016,25,127,1,Light snow,600,s01d,330,16,10.8
2022-11-02T12:00:00,-6,-15.3,93,-9,80,720,21.6,339,d,1,880,79,1017,25,101,2,Light snow,600,s01d,330,14,10.8
2022-11-02T13:00:00,-6,-15.3,94,-9,84,746,23.7,377,d,0.5,880,79,1017,12.5,102,2,Light snow,600,s01d,340,15,10.8
2022-11-02T14:00:00,-6,-14.9,96,-9,83,740,23.2,369,d,0.5,880,79,1018,12.5,163,4,Light snow,600,s01d,330,12,9.8
2022-11-02T15:00:00,-6,-15.1,94,-9,77,703,20.3,314,d,0.5,881,79,1018,12.5,85,5,Light snow,600,s01d,320,14,10.3
2022-11-02T16:00:00,-6,-14.5,94,-9,67,619,15.1,221,d,0,881,79,1019,0,127,14,Overcast clouds,804,c04d,330,11,8.8
2022-11-02T17:00:00,-6,-14.7,94,-10,47,446,8.3,103,d,0,882,73,1020,0,75,16,Overcast clouds,804,c04d,330,16,9.3
2022-11-02T18:00:00,-6,-13.7,93,-10,6,13,0.2,1,d,0,883,73,1021,0,6,16,Overcast clouds,804,c04n,340,10,7.2
2022-11-02T19:00:00,-6,-12.9,93,-9,0,0,-8.7,0,n,0,883,79,1022,0,0,13,Overcast clouds,804,c04n,340,16,5.7
2022-11-02T20:00:00,-7,-14.7,94,-9.1,0,0,-18,0,n,0,884,85,1023,0,0,8,Overcast clouds,804,c04n,350,7.2,6.7
2022-11-02T21:00:00,-7,-14.5,94,-10,0,0,-27.4,0,n,0,884,79,1023,0,0,13,Overcast clouds,804,c04n,350,9,6.2
2022-11-02T22:00:00,-7,-14.5,91,-10,0,0,-36.4,0,n,0,885,79,1023,0,0,14,Overcast clouds,804,c04n,350,9,6.2
2022-11-02T23:00:00,-8,-15.7,88,-11,0,0,-44.5,0,n,0,885,79,1024,0,0,16,Overcast clouds,804,c04n,340,9,6.2
2022-11-03T00:00:00,-9,-14.4,93,-12.1,0,0,-50.7,0,n,0,884,78,1024,0,0,16,Overcast clouds,804,c04n,320,9,3.1
2022-11-03T01:00:00,-10,-15.6,87,-12,0,0,-53.9,0,n,0,884,85,1024,0,0,16,Overcast clouds,804,c04n,330,4,3.1
2022-11-03T02:00:00,-11,-13,85,-12,0,0,-53.2,0,n,0,884,92,1024,0,0,16,Overcast clouds,804,c04n,300,4,1
2022-11-03T03:00:00,-10,-13.2,86,-12,0,0,-48.9,0,n,0,883,85,1024,0,0,16,Overcast clouds,804,c04n,270,3.6,1.5
2022-11-03T04:00:00,-14,-18.9,86,-16.1,0,0,-41.9,0,n,0,883,84,1024,0,0,16,Overcast clouds,804,c04n,50,3.2,2.1
2022-11-03T05:00:00,-11,-15.4,86,-13,0,0,-33.5,0,n,0,881,85,1023,0,0,16,Overcast clouds,804,c04n,250,3.2,2.1
2022-11-03T06:00:00,-12,-16.6,87,-14,0,0,-24.3,0,n,0,882,85,1023,0,0,16,Overcast clouds,804,c04n,200,3.6,2.1
2022-11-03T07:00:00,-13,-16.6,87,-14,0,0,-14.9,0,n,0,892,92,1023,0,0,16,Overcast clouds,804,c04n,210,4.4,1.5
2022-11-03T08:00:00,-12,-17.4,87,-13,0,0,-5.7,0,n,0,881,92,1022,0,0,16,Overcast clouds,804,c04n,200,5.2,2.6
2022-11-03T09:00:00,-12,-17.4,87,-13,25,198,2.9,26,d,0,881,92,1022,0,36,16,Overcast clouds,804,c04n,190,5.2,2.6
2022-11-03T10:00:00,-11,-17.4,86,-13,55,517,10.6,142,d,0,881,85,1021,0,65,16,Overcast clouds,804,c04d,180,4.8,3.6
2022-11-03T11:00:00,-9,-13.8,83,-12.1,71,651,16.9,253,d,0,880,78,1020,0,132,16,Overcast clouds,804,c04d,180,4.8,2.6
2022-11-03T12:00:00,-7,-12,80,-11,79,717,21.3,333,d,0,881,73,1019,0,193,16,Overcast clouds,804,c04d,230,4.4,3.1
2022-11-03T13:00:00,-5,-9.6,59,-10.2,83,743,23.4,371,d,0,881,67,1017,0,315,16,Broken clouds,803,c03d,230,6.4,3.1
2022-11-03T14:00:00,-4,-7.9,56,-10,82,737,22.9,363,d,0,880,63,1016,0,318,16,Broken clouds,803,c03d,170,7.6,2.6
2022-11-03T15:00:00,-3,-7.2,56,-9,77,699,20,309,d,0,880,63,1014,0,270,16,Broken clouds,803,c03d,160,8.4,3.1
2022-11-03T16:00:00,-1,-2.9,88,-8,66,614,14.8,216,d,0,879,59,1014,0,90,16,Overcast clouds,804,c04d,130,7.2,1.5
2022-11-03T17:00:00,-4,-8.4,83,-9,47,437,8,99,d,0,879,68,1013,0,52,16,Overcast clouds,804,c04d,170,4.4,3.1
2022-11-03T18:00:00,-4,-7.3,82,-9,4,4,-0.1,1,d,0,877,68,1013,0,5,16,Overcast clouds,804,c04n,200,3.2,2.1
2022-11-03T19:00:00,-4,-5.3,88,-9,0,0,-8.9,0,n,0,877,68,1012,0,0,16,Overcast clouds,804,c04n,170,3.2,1
2022-11-03T20:00:00,-1,-4.3,94,-11.1,0,0,-18.3,0,n,0,876,46,1011,0,0,16,Overcast clouds,804,c04n,230,2.8,2.6
2022-11-03T21:00:00,-3,-6.1,95,-10.1,0,0,-27.7,0,n,0,877,58,1010,0,0,16,Overcast clouds,804,c04n,120,3.2,2.1
2022-11-03T22:00:00,-3,-5.2,92,-10.1,0,0,-36.7,0,n,0,875,58,1010,0,0,16,Overcast clouds,804,c04n,200,3.6,1.5
2022-11-03T23:00:00,-3,-6.7,83,-11,0,0,-44.8,0,n,0,875,54,1009,0,0,16,Overcast clouds,804,c04n,270,3.6,2.6
2022-11-04T00:00:00,-2,-6,89,-11,0,0,-51,0,n,0,874,50,1008,0,0,16,Overcast clouds,804,c04n,240,3.6,3.1
2022-11-04T01:00:00,-2,-5.5,86,-11,0,0,-54.2,0,n,0,874,50,1006,0,0,16,Overcast clouds,804,c04n,255,4,2.6
2022-11-04T02:00:00,-2,-3,94,-10,0,0,-53.5,0,n,0,873,54,1005,0,0,16,Overcast clouds,804,c04n,275,4,1
2022-11-04T03:00:00,0,-2.6,93,-8.2,0,0,-49.2,0,n,0,872,54,1005,0,0,16,Overcast clouds,804,c04n,290,4,2.1
2022-11-04T04:00:00,0,-2.6,5,-1.6,0,0,-42.2,0,n,0,879,89,1004,0,0,16,Few clouds,801,c02n,220,3,2.1
2022-11-04T05:00:00,-1,-1.9,5,-9.1,0,0,-33.7,0,n,0,878,54,1004,0,0,16,Few clouds,801,c02n,180,3,1
2022-11-04T06:00:00,-2,-4,5,-10,0,0,-24.5,0,n,0,878,54,1004,0,0,16,Few clouds,801,c02n,140,3,1.5
2022-11-04T07:00:00,0,-4.4,83,-8.2,0,0,-15.1,0,n,0,871,54,1003,0,0,16,Overcast clouds,804,c04n,270,8,4.1
2022-11-04T08:00:00,1,-4.3,83,-10.1,0,0,-5.9,0,n,0,872,43,1003,0,0,16,Overcast clouds,804,c04n,270,8,6.2
2022-11-04T09:00:00,-1,-4.8,5,-9.1,23,181,2.7,23,d,0,878,54,1003,0,46,16,Few clouds,801,c02n,160,3.1,3.1
2022-11-04T10:00:00,0,-3.1,89,-8.2,54,510,10.3,137,d,0,871,54,1002,0,54,16,Overcast clouds,804,c04d,170,3,2.6
2022-11-04T11:00:00,1,-1.9,80,-8,70,647,16.6,248,d,0,871,51,1002,0,143,16,Overcast clouds,804,c04d,190,4.8,2.6
2022-11-04T12:00:00,2,-0.7,54,-6.1,79,713,21,328,d,0,871,55,1001,0,292,16,Broken clouds,803,c03d,180,4.8,2.6
2022-11-04T13:00:00,4,2.8,81,-8,83,739,23.1,366,d,0,871,41,1000,0,205,16,Overcast clouds,804,c04d,140,5.2,1.5
2022-11-04T14:00:00,3,0,87,-5.1,82,734,22.6,358,d,0,871,55,999,0,157,16,Overcast clouds,804,c04d,170,5.6,3.1
2022-11-04T15:00:00,3,0.4,91,-6.1,76,695,19.7,304,d,0,870,51,997,0,105,16,Overcast clouds,804,c04d,170,5.6,2.6
2022-11-04T16:00:00,2,-1.2,90,-4.1,65,609,14.6,211,d,0,869,64,997,0,78,16,Overcast clouds,804,c04d,140,4.8,3.1
2022-11-04T17:00:00,2,0.5,93,-5.2,46,428,7.8,95,d,0,868,59,995,0,74,16,Overcast clouds,804,c04d,170,3.2,1.5
2022-11-04T18:00:00,2,-0.2,93,-5.2,2,0,-0.3,0,n,0,866,59,994,0,0,16,Overcast clouds,804,c04n,180,4,2.1
2022-11-04T19:00:00,1,-1.9,94,-4,0,0,-9.2,0,n,0,865,69,992,0,0,16,Overcast clouds,804,c04n,190,4.4,2.6
2022-11-04T20:00:00,1,-1.9,81,-4,0,0,-18.5,0,n,0,863,69,990,0,0,16,Overcast clouds,804,c04n,170,4.8,2.6
2022-11-04T21:00:00,-2,-5.5,80,-5.1,0,0,-27.9,0,n,0,862,79,989,0,0,16,Overcast clouds,804,c04n,160,4.8,2.6
2022-11-04T22:00:00,-2,-5.7,80,-4,0,0,-36.9,0,n,0,859,86,988,0,0,16,Overcast clouds,804,c04n,220,5.2,2.8
2022-11-04T23:00:00,-2,-4.8,87,-4,0,0,-45,0,n,0,859,86,986,0,0,16,Overcast clouds,804,c04n,280,2,2
2022-11-05T00:00:00,-2,-4.9,92,-5.1,0,0,-51.3,0,n,0,857,79,985,0,0,16,Overcast clouds,804,c04n,340,3.2,2.1
2022-11-05T01:00:00,-3,-4.1,94,-5,0,0,-54.5,0,n,0,856,86,984,0,0,11,Overcast clouds,804,c04n,175,2.4,1
