Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-10-01T00:00:00,10,10,5,6.9,0,0,-39,0,n,0,900,81,1026,0,0,16,Few clouds,801,c02n,305,3.2,1.2
2022-10-01T01:00:00,9,9,50,7,0,0,-42,0,n,0,899,87,1027,0,0,16,Broken clouds,803,c03n,295,1.6,1
2022-10-01T02:00:00,8,8,3,6,0,0,-41.7,0,n,0,899,87,1027,0,0,16,Few clouds,801,c02n,280,2.4,1
2022-10-01T03:00:00,7,6.1,0,5.9,0,0,-38.4,0,n,0,898,93,1027,0,0,16,Clear Sky,800,c01n,265,2.8,1.6
2022-10-01T04:00:00,7,6.1,0,7,0,0,-32.4,0,n,0,898,100,1027,0,0,16,Fog,741,a05n,255,2.4,1.6
2022-10-01T05:00:00,6,5.5,0,6,0,0,-24.8,0,n,0,898,100,1027,0,0,16,Fog,741,a05n,240,2,1.2
2022-10-01T06:00:00,7,6.9,5,5.9,0,0,-16,0,n,0,898,93,1027,0,0,16,Few clouds,801,c02n,225,2,1
2022-10-01T07:00:00,6,5.5,0,5,0,0,-6.7,0,n,0,898,93,1027,0,0,16,Clear Sky,800,c01n,215,2,1.2
2022-10-01T08:00:00,6,5.8,0,5,23,177,2.7,22,d,0,897,93,1027,0,45,16,Clear Sky,800,c01n,200,2,1
2022-10-01T09:00:00,7,6.6,0,5.9,57,536,11.7,158,d,0,897,93,1027,0,158,16,Clear Sky,800,c01d,195,2.8,1.2
2022-10-01T10:00:00,10,10,0,6.9,76,687,20.1,305,d,0,898,81,1026,0,305,16,Clear Sky,800,c01d,190,3.6,1
2022-10-01T11:00:00,14,14,0,8,88,768,27.1,432,d,0,899,67,1026,0,432,16,Clear Sky,800,c01d,190,5.6,2.1
2022-10-01T12:00:00,16,16,0,8,95,812,32.3,523,d,0,901,59,1025,0,523,16,Clear Sky,800,c01d,160,6.4,3.1
2022-10-01T13:00:00,18,18,0,8,98,831,35,569,d,0,901,52,1024,0,569,16,Clear Sky,800,c01d,200,5.2,2.6
2022-10-01T14:00:00,20,19.2,0,7.7,98,829,34.8,565,d,0,901,45,1024,0,565,16,Clear Sky,800,c01d,180,7.6,3.6
