Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2022-09-01T00:00:00,24,23.2,55,4.9,0,0,-27.3,0,n,0,894,29,1010,0,0,16,Broken clouds,803,c03n,270,5.2,3.6
2022-09-01T01:00:00,23,22.2,24,5.9,0,0,-30.3,0,n,0,894,33,1009,0,0,16,Scattered clouds,802,c02n,240,6.4,2.1
2022-09-01T02:00:00,18,18,83,6.8,0,0,-30.6,0,n,0,893,48,1010,0,0,16,Overcast clouds,804,c04n,180,6.4,3.1
2022-09-01T03:00:00,20,19.1,1,6,0,0,-28.1,0,n,0,891,40,1009,0,0,16,Clear Sky,800,c01n,230,6,2.1
2022-09-01T04:00:00,20,19.1,0,6,0,0,-23.2,0,n,0,892,40,1009,0,0,16,Clear Sky,800,c01n,220,6,2.6
2022-09-01T05:00:00,18,18,0,5.9,0,0,-16.4,0,n,0,891,45,1009,0,0,16,Clear Sky,800,c01n,210,6,2.1
2022-09-01T06:00:00,20,19.1,50,6,0,0,-8.3,0,n,0,891,40,1009,0,0,16,Broken clouds,803,c03n,240,6,2.6
2022-09-01T07:00:00,18,18,52,6.8,10,38,0.6,4,d,0,891,48,1009,0,14,16,Broken clouds,803,c03n,220,6,2.6
2022-09-01T08:00:00,19,18.1,0,6.8,51,482,10,127,d,0,891,45,1010,0,127,16,Clear Sky,800,c01d,140,6.4,1.5
2022-09-01T09:00:00,21,20.2,86,6.9,73,666,19.3,287,d,0,892,40,1010,0,132,16,Overcast clouds,804,c04d,85,6.8,4
2022-09-01T10:00:00,24,23.4,54,8.8,88,766,28.3,444,d,0,893,38,1011,0,395,16,Broken clouds,803,c03d,30,7,5.7
2022-09-01T11:00:00,25,24.5,1,8.9,98,825,36.2,579,d,0,893,36,1012,0,579,16,Clear Sky,800,c01d,10,7,4.6
2022-09-01T12:00:00,26,25.5,8,7.6,104,860,42.5,679,d,0,895,31,1012,0,679,16,Few clouds,801,c02d,30,7,4.6
2022-09-01T13:00:00,25,24.5,24,8.9,107,877,46.2,733,d,0,895,36,1012,0,728,16,Scattered clouds,802,c02d,40,8,5.1
2022-09-01T14:00:00,26,25.5,25,8.9,107,878,46.5,738,d,0,895,34,1013,0,732,16,Scattered clouds,802,c02d,70,7,4.6
2022-09-01T15:00:00,25,24.5,70,8.9,105,864,43.4,692,d,0,896,36,1013,0,507,16,Broken clouds,803,c03d,60,8,6.2
2022-09-01T16:00:00,25,24.4,93,7.6,99,833,37.5,601,d,0,896,33,1013,0,178,16,Overcast clouds,804,c04d,50,8,4.6
2022-09-01T17:00:00,23,22.4,92,8.7,90,779,29.8,471,d,0.75,896,40,1014,0,152,16,Light rain,500,r01d,30,9.2,8.2
2022-09-01T18:00:00,22,21.3,86,7.8,76,689,21,317,d,0,896,40,1014,0,146,16,Overcast clouds,804,c04d,50,8,6.7
2022-09-01T19:00:00,22,21.3,40,7.8,56,526,11.7,155,d,0,898,40,1015,0,149,16,Scattered clouds,802,c02d,40,7,5.1
2022-09-01T20:00:00,20,19.2,18,6.7,20,150,2.3,18,d,0,899,42,1016,0,38,16,Few clouds,801,c02n,50,9,7.2
2022-09-01T21:00:00,17,17,3,6.8,0,0,-6.8,0,n,0,896,51,1017,0,0,16,Few clouds,801,c02n,50,3.6,2.6
2022-09-01T22:00:00,16,16,0,7,0,0,-15.1,0,n,0,905,55,1018,0,0,16,Clear Sky,800,c01n,80,2.8,2.6
2022-09-01T23:00:00,16,16,0,5.9,0,0,-22.3,0,n,0,895,51,1018,0,0,16,Clear Sky,800,c01n,115,3.2,2
2022-09-02T00:00:00,15,15,0,5.8,0,0,-27.6,0,n,0,896,54,1018,0,0,16,Clear Sky,800,c01n,150,3.6,2.1
2022-09-02T01:00:00,14,14,0,5.9,0,0,-30.7,0,n,0,894,58,1019,0,0,16,Clear Sky,800,c01n,180,4,2.6
2022-09-02T02:00:00,13,13,0,6.8,0,0,-30.9,0,n,0,894,66,1019,0,0,16,Clear Sky,800,c01n,190,4.8,2.6
2022-09-02T03:00:00,13,13,0,6.8,0,0,-28.4,0,n,0,896,66,1019,0,0,16,Clear Sky,800,c01n,190,5.2,3.6
2022-09-02T04:00:00,12,12,0,6.9,0,0,-23.5,0,n,0,896,71,1019,0,0,16,Clear Sky,800,c01n,190,6,3.6
2022-09-02T05:00:00,12,12,0,5.9,0,0,-16.7,0,n,0,895,66,1019,0,0,16,Clear Sky,800,c01n,170,6,2.6
2022-09-02T06:00:00,12,12,0,5.9,0,0,-8.5,0,n,0,895,66,1020,0,0,16,Clear Sky,800,c01n,180,6,3.1
2022-09-02T07:00:00,12,12,0,6.9,8,24,0.4,2,d,0,895,71,1019,0,10,16,Clear Sky,800,c01n,190,5.2,2.6
2022-09-02T08:00:00,12,12,1,6.9,51,476,9.8,123,d,0,895,71,1020,0,123,16,Clear Sky,800,c01d,220,5.2,3.1
2022-09-02T09:00:00,14,14,1,6.8,73,663,19.1,283,d,0,893,62,1020,0,283,16,Clear Sky,800,c01d,240,5.6,3.1
2022-09-02T10:00:00,17,17,1,7.9,87,764,28,440,d,0,896,55,1020,0,440,16,Clear Sky,800,c01d,220,6.4,2.6
2022-09-02T11:00:00,20,19.2,12,7.7,97,824,35.9,575,d,0,896,45,1019,0,575,16,Few clouds,801,c02d,220,6.8,2.6
2022-09-02T12:00:00,23,22.3,14,7.9,104,859,42.2,674,d,0,898,38,1019,0,673,16,Few clouds,801,c02d,170,7.2,2.6
2022-09-02T13:00:00,26,25.4,0,5.6,107,876,45.8,728,d,0,899,27,1018,0,728,16,Clear Sky,800,c01d,160,8.4,4.6
2022-09-02T14:00:00,28,26.8,0,5,107,877,46.1,733,d,0,900,23,1017,0,733,16,Clear Sky,800,c01d,150,8,5.1
2022-09-02T15:00:00,29,27.5,0,3.8,105,863,43,687,d,0,900,20,1017,0,687,16,Clear Sky,800,c01d,180,8,5.7
2022-09-02T16:00:00,30,28.2,0,4.6,99,831,37.2,595,d,0,900,20,1016,0,595,16,Clear Sky,800,c01d,190,9,5.7
2022-09-02T17:00:00,30,28.2,0,4.6,89,776,29.5,465,d,0,900,20,1016,0,465,16,Clear Sky,800,c01d,160,8,5.7
2022-09-02T18:00:00,30,28.3,0,6.6,76,685,20.7,311,d,0,899,23,1015,0,311,16,Clear Sky,800,c01d,170,8,4.1
2022-09-02T19:00:00,29,27.6,0,7,55,518,11.4,149,d,0,899,25,1015,0,149,16,Clear Sky,800,c01d,140,8,6.2
2022-09-02T20:00:00,27,26.3,0,6.9,19,127,2,15,d,0,898,28,1014,0,34,16,Clear Sky,800,c01n,140,8,5.7
2022-09-02T21:00:00,25,24.4,0,7.6,0,0,-7.1,0,n,0,898,33,1015,0,0,16,Clear Sky,800,c01n,160,8,5.7
2022-09-02T22:00:00,22,21.3,0,7.8,0,0,-15.5,0,n,0,897,40,1015,0,0,16,Clear Sky,800,c01n,190,5.2,4.1
2022-09-02T23:00:00,22,21.3,0,7.8,0,0,-22.6,0,n,0,892,40,1015,0,0,16,Clear Sky,800,c01n,210,4.8,2.6
2022-09-03T00:00:00,19,18.3,0,8.9,0,0,-28,0,n,0,892,52,1015,0,0,16,Clear Sky,800,c01n,320,4.4,2.1
2022-09-03T01:00:00,19,18.2,0,7.8,0,0,-31,0,n,0,895,48,1014,0,0,16,Clear Sky,800,c01n,200,4.4,2.1
2022-09-03T02:00:00,16,16,0,9,0,0,-31.3,0,n,0,895,63,1014,0,0,16,Clear Sky,800,c01n,220,4.4,2.6
2022-09-03T03:00:00,15,15,0,7.8,0,0,-28.8,0,n,0,894,62,1014,0,0,16,Clear Sky,800,c01n,200,4,2.1
2022-09-03T04:00:00,15,15,0,6.8,0,0,-23.8,0,n,0,893,58,1014,0,0,16,Clear Sky,800,c01n,210,4,1
2022-09-03T05:00:00,13,13,0,7.9,0,0,-17,0,n,0,893,71,1014,0,0,11,Clear Sky,800,c01n,220,4,1.5
2022-09-03T06:00:00,14,14,0,6.8,0,0,-8.8,0,n,0,892,62,1014,0,0,11,Clear Sky,800,c01n,220,4.4,1
2022-09-03T07:00:00,12,12,0,6.9,6,12,0.2,1,d,0,893,71,1015,0,7,10,Clear Sky,800,c01n,200,4.4,2.1
2022-09-03T08:00:00,13,13,0,6.8,50,470,9.5,119,d,0,892,66,1015,0,119,14,Clear Sky,800,c01d,210,5.2,2.8
2022-09-03T09:00:00,16,16,0,9,72,660,18.9,279,d,0,893,63,1015,0,279,10,Clear Sky,800,c01d,220,5.2,1.5
2022-09-03T10:00:00,18,18,0,8,87,762,27.8,436,d,0,892,52,1015,0,436,10,Clear Sky,800,c01d,160,4,1.5
2022-09-03T11:00:00,21,20.4,0,8.9,97,822,35.7,571,d,0,895,46,1015,0,571,10,Clear Sky,800,c01d,210,3.6,1
2022-09-03T12:00:00,25,24.6,0,10.8,104,858,41.9,670,d,0,896,41,1014,0,649,10,Clear Sky,800,c01d,220,4.8,3.1
2022-09-03T13:00:00,29,27.5,0,3.8,107,875,45.5,724,d,0,897,20,1013,0,724,14,Clear Sky,800,c01d,100,6.8,4.6
2022-09-03T14:00:00,31,29.1,0,5.4,107,876,45.7,728,d,0,897,20,1012,0,728,14,Clear Sky,800,c01d,180,8,3.6
2022-09-03T15:00:00,31,29,0,2.3,104,862,42.7,682,d,0,898,16,1011,0,682,14,Clear Sky,800,c01d,190,8.4,3.6
2022-09-03T16:00:00,33,30.7,0,3.9,98,830,36.8,589,d,0,897,16,1011,0,589,10,Clear Sky,800,c01d,170,8.8,4.1
2022-09-03T17:00:00,31,29.1,0,5.4,89,774,29.1,460,d,0,897,20,1010,0,460,10,Clear Sky,800,c01d,170,8.8,3.1
2022-09-03T18:00:00,31,29,1,4.7,75,680,20.3,305,d,0,896,19,1010,0,305,10,Clear Sky,800,c01d,190,7.6,3.1
2022-09-03T19:00:00,28,26.8,1,3.7,54,510,11,144,d,0,895,21,1010,0,144,10,Clear Sky,800,c01d,180,6,3.6
2022-09-03T20:00:00,28,26.7,16,3,16,104,1.6,11,d,0,894,20,1010,0,27,8,Few clouds,801,c02n,160,4.4,1
2022-09-03T21:00:00,24,23.2,25,4.9,0,0,-7.5,0,n,0,894,29,1010,0,0,8,Scattered clouds,802,c02n,140,4.4,2.6
2022-09-03T22:00:00,22,21.2,91,6.7,0,0,-15.8,0,n,0,896,37,1010,0,0,8,Overcast clouds,804,c04n,40,4.4,1
2022-09-03T23:00:00,20,19.2,96,7.7,0,0,-23,0,n,0,892,45,1010,0,0,10,Overcast clouds,804,c04n,135,6,2.8
2022-09-04T00:00:00,21,20.4,93,8.9,0,0,-28.4,0,n,0,891,46,1009,0,0,10,Overcast clouds,804,c04n,230,9.2,3.6
2022-09-04T01:00:00,20,19.2,86,7.7,0,0,-31.4,0,n,0,891,45,1008,0,0,10,Overcast clouds,804,c04n,215,6.4,1.5
2022-09-04T02:00:00,23,22.2,85,5,0,0,-31.7,0,n,0,890,31,1008,0,0,10,Overcast clouds,804,c04n,195,5.6,1
2022-09-04T03:00:00,19,18.1,1,6.8,0,0,-29.1,0,n,0,892,45,1008,0,0,10,Clear Sky,800,c01n,180,6,2.1
2022-09-04T04:00:00,24,23.2,1,4.9,0,0,-24.1,0,n,0,890,29,1007,0,0,10,Clear Sky,800,c01n,300,6,5.1
2022-09-04T05:00:00,24,23.2,1,4.9,0,0,-17.2,0,n,0,888,29,1008,0,0,8,Clear Sky,800,c01n,290,8,3.1
2022-09-04T06:00:00,24,23.2,25,3.9,0,0,-9,0,n,0,888,27,1008,0,0,8,Scattered clouds,802,c02n,340,8,2.6
2022-09-04T07:00:00,17,17,24,5.9,4,3,-0.1,1,d,0,887,48,1009,0,5,6,Scattered clouds,802,c02n,30,6.4,4.1
2022-09-04T08:00:00,18,18,22,6.8,49,463,9.3,116,d,0,889,48,1009,0,115,6,Scattered clouds,802,c02d,50,9,2.6
2022-09-04T09:00:00,24,23.2,84,4.9,72,657,18.6,275,d,0,890,29,1009,0,138,6,Overcast clouds,804,c04d,165,10,5.1
2022-09-04T10:00:00,26,25.3,82,4.5,87,760,27.5,432,d,0,893,25,1009,0,234,6,Overcast clouds,804,c04d,280,11,7.7
2022-09-04T11:00:00,27,26.2,3,4.7,97,821,35.4,566,d,0,893,24,1009,0,566,6,Few clouds,801,c02d,280,11,6.2
2022-09-04T12:00:00,28,26.9,20,5.6,103,857,41.5,665,d,0,893,24,1008,0,662,6,Few clouds,801,c02d,260,8,6.2
2022-09-04T13:00:00,29,27.6,1,5.8,106,873,45.1,719,d,0,893,23,1008,0,719,6,Clear Sky,800,c01d,280,10,6.2
2022-09-04T14:00:00,31,29,1,2.3,107,875,45.4,723,d,0,893,16,1007,0,723,8,Clear Sky,800,c01d,290,8.8,4.6
2022-09-04T15:00:00,31,28.9,0,1.4,104,860,42.3,676,d,0,894,15,1006,0,676,8,Clear Sky,800,c01d,290,9.2,2.1
2022-09-04T16:00:00,31,28.9,0,0.4,98,828,36.4,584,d,0,894,14,1006,0,584,10,Clear Sky,800,c01d,270,9.6,6.2
2022-09-04T17:00:00,31,28.9,0,0.4,89,771,28.8,454,d,0,893,14,1006,0,454,10,Clear Sky,800,c01d,280,9.2,6.7
2022-09-04T18:00:00,31,28.9,0,1.4,74,676,20,299,d,0,893,15,1006,0,299,10,Clear Sky,800,c01d,290,8,7.2
2022-09-04T19:00:00,29,27.4,19,1.5,53,502,10.7,138,d,0,893,17,1006,0,138,10,Few clouds,801,c02d,280,8,5.7
2022-09-04T20:00:00,28,26.8,25,3.7,14,80,1.3,8,d,0,893,21,1007,0,22,10,Scattered clouds,802,c02n,270,3.6,3.6
2022-09-04T21:00:00,26,25.3,95,3.9,0,0,-7.8,0,n,0,892,24,1006,0,0,10,Overcast clouds,804,c04n,250,4,1.5
2022-09-04T22:00:00,25,24.3,90,4.7,0,0,-16.2,0,n,0,891,27,1007,0,0,10,Overcast clouds,804,c04n,270,5.6,4.6
2022-09-04T23:00:00,24,23.2,93,4.9,0,0,-23.4,0,n,0,891,29,1007,0,0,10,Overcast clouds,804,c04n,300,6.4,4.6
2022-09-05T00:00:00,24,23.2,25,4.9,0,0,-28.8,0,n,0,891,29,1007,0,0,10,Scattered clouds,802,c02n,290,7.2,4.1
2022-09-05T01:00:00,22,21,1,3.6,0,0,-31.8,0,n,0,891,30,1007,0,0,16,Clear Sky,800,c01n,260,5.2,2.6
2022-09-05T02:00:00,22,21,1,3.6,0,0,-32,0,n,0,890,30,1006,0,0,16,Clear Sky,800,c01n,260,5.2,3.1
2022-09-05T03:00:00,22,21,0,2.7,0,0,-29.4,0,n,0,890,28,1007,0,0,16,Clear Sky,800,c01n,260,7,4.1
2022-09-05T04:00:00,20,18.9,0,3.7,0,0,-24.4,0,n,0,891,34,1007,0,0,16,Clear Sky,800,c01n,220,7,4.1
2022-09-05T05:00:00,19,17.9,0,4,0,0,-17.5,0,n,0,890,37,1007,0,0,16,Clear Sky,800,c01n,230,11,3.6
2022-09-05T06:00:00,17,17,94,6.8,0,0,-9.3,0,n,0,889,51,1009,0,0,11,Overcast clouds,804,c04n,350,14,11.8
2022-09-05T07:00:00,14,14,93,8,1,0,-0.3,0,n,0,892,67,1011,0,0,8,Overcast clouds,804,c04n,350,9,6.7
2022-09-05T08:00:00,14,14,100,8,48,456,9.1,112,d,0,889,67,1011,0,59,8,Overcast clouds,804,c04d,340,9,7.2
2022-09-05T09:00:00,16,16,100,5.9,71,653,18.4,271,d,0,890,51,1012,0,98,10,Overcast clouds,804,c04d,360,7.6,6.7
2022-09-05T10:00:00,17,17,0,5,86,758,27.2,427,d,0,892,45,1012,0,427,10,Clear Sky,800,c01d,360,9,7.7
2022-09-05T11:00:00,18,18,0,3.9,97,819,35.1,562,d,0,905,39,1013,0,562,11,Clear Sky,800,c01d,20,8,5.7
2022-09-05T12:00:00,18,18,0,4.9,103,855,41.2,660,d,0,893,42,1013,0,660,11,Clear Sky,800,c01d,340,8,5.1
2022-09-05T13:00:00,19,18,77,4.7,106,872,44.8,714,d,0,893,39,1013,0,450,16,Overcast clouds,804,c04d,20,8,4.1
2022-09-05T14:00:00,19,18,6,4.7,106,873,45,718,d,0,894,39,1013,0,718,16,Few clouds,801,c02d,20,10,5.7
2022-09-05T15:00:00,19,18,20,4.7,104,859,41.9,671,d,0,894,39,1014,0,668,16,Few clouds,801,c02d,10,10,5.7
2022-09-05T16:00:00,19,18,3,4.7,98,826,36.1,578,d,0,894,39,1014,0,578,16,Few clouds,801,c02d,350,9,1.5
2022-09-05T17:00:00,19,17.9,50,4,88,768,28.4,448,d,0.5,894,37,1015,0,410,16,Broken clouds,803,c03d,40,8,3.6
2022-09-05T18:00:00,19,17.9,5,4,74,672,19.6,293,d,0,894,37,1016,0,293,16,Few clouds,801,c02d,30,7.6,4.1
2022-09-05T19:00:00,18,18,9,3.9,52,493,10.3,133,d,0,895,39,1017,0,133,16,Few clouds,801,c02d,50,6.8,4.1
2022-09-05T20:00:00,16,16,0,3.8,12,57,0.9,6,d,0,895,44,1018,0,18,16,Clear Sky,800,c01n,60,4,3.6
