Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2023-06-01T00:00:00,13,13,10,7.9,0,0,-13.9,0,n,0,890,71,1010,0,0,16,Few clouds,801,c02n,350,11,6.7
2023-06-01T01:00:00,13,13,64,8.9,0,0,-16.4,0,n,0,890,76,1010,0,0,16,Broken clouds,803,c03n,350,11,7.7
2023-06-01T02:00:00,12,12,49,7.9,0,0,-16.5,0,n,0,890,76,1010,0,0,16,Broken clouds,803,c03n,350,10,7.7
2023-06-01T03:00:00,12,12,100,7.9,0,0,-14.4,0,n,0,890,76,1011,0,0,16,Overcast clouds,804,c04n,340,10,7.7
2023-06-01T04:00:00,12,12,100,8.8,0,0,-10,0,n,0,890,81,1011,0,0,16,Overcast clouds,804,c04n,340,11,8.2
2023-06-01T05:00:00,12,12,85,8.8,0,0,-3.9,0,n,0,888,81,1012,0,0,16,Overcast clouds,804,c04n,0,8.4,1
2023-06-01T06:00:00,12,12,84,8.8,27,224,3.5,32,d,0,890,81,1013,0,43,16,Overcast clouds,804,c04n,350,9,5.7
2023-06-01T07:00:00,12,12,89,8.8,56,527,12,158,d,0,890,81,1013,0,62,16,Overcast clouds,804,c04d,350,9,5.7
2023-06-01T08:00:00,12,12,83,8.8,75,682,21.1,314,d,0,890,81,1014,0,164,16,Overcast clouds,804,c04d,350,10,7.7
2023-06-01T09:00:00,12.4,12.4,89,8.1,90,776,30.4,477,d,0,890,75,1015,0,188,16,Overcast clouds,804,c04d,340,11,7.7
2023-06-01T10:00:00,12,12,93,7.9,100,837,39.8,629,d,0,890,76,1017,0,187,16,Overcast clouds,804,c04d,350,12,9.3
2023-06-01T11:00:00,11,11,92,6.9,108,877,48.5,758,d,0.5,890,76,1018,0,244,16,Overcast clouds,804,c04d,350,13,9.8
2023-06-01T12:00:00,10,10,94,5,113,901,55.8,851,d,0.5,890,71,1019,0,230,16,Overcast clouds,804,c04d,340,13,9.8
2023-06-01T13:00:00,9,9,86,5.9,115,913,60.3,901,d,0,890,81,1019,0,415,16,Overcast clouds,804,c04d,330,12,9.3
